荻 322E B2AE U+837B
億 322F B2AF U+5104
屋 3230 B2B0 U+5C4B
憶 3231 B2B1 U+61B6
臆 3232 B2B2 U+81C6
桶 3233 B2B3 U+6876
牡 3234 B2B4 U+7261
乙 3235 B2B5 U+4E59
俺 3236 B2B6 U+4FFA
卸 3237 B2B7 U+5378
恩 3238 B2B8 U+6069
温 3239 B2B9 U+6E29
穏 323A B2BA U+7A4F
音 323B B2BB U+97F3
下 323C B2BC U+4E0B
化 323D B2BD U+5316
仮 323E B2BE U+4EEE
何 323F B2BF U+4F55
伽 3240 B2C0 U+4F3D
価 3241 B2C1 U+4FA1
佳 3242 B2C2 U+4F73
加 3243 B2C3 U+52A0
可 3244 B2C4 U+53EF
嘉 3245 B2C5 U+5609
夏 3246 B2C6 U+590F
嫁 3247 B2C7 U+5AC1
家 3248 B2C8 U+5BB6
寡 3249 B2C9 U+5BE1
科 324A B2CA U+79D1
暇 324B B2CB U+6687
果 324C B2CC U+679C
架 324D B2CD U+67B6
歌 324E B2CE U+6B4C
河 324F B2CF U+6CB3
火 3250 B2D0 U+706B
珂 3251 B2D1 U+73C2
禍 3252 B2D2 U+798D
禾 3253 B2D3 U+79BE
稼 3254 B2D4 U+7A3C
箇 3255 B2D5 U+7B87
花 3256 B2D6 U+82B1
苛 3257 B2D7 U+82DB
茄 3258 B2D8 U+8304
荷 3259 B2D9 U+8377
華 325A B2DA U+83EF
菓 325B B2DB U+83D3
蝦 325C B2DC U+8766
課 325D B2DD U+8AB2
嘩 325E B2DE U+5629
貨 325F B2DF U+8CA8
迦 3260 B2E0 U+8FE6
過 3261 B2E1 U+904E
霞 3262 B2E2 U+971E
蚊 3263 B2E3 U+868A
俄 3264 B2E4 U+4FC4
峨 3265 B2E5 U+5CE8
我 3266 B2E6 U+6211
牙 3267 B2E7 U+7259
画 3268 B2E8 U+753B
臥 3269 B2E9 U+81E5
芽 326A B2EA U+82BD
蛾 326B B2EB U+86FE
賀 326C B2EC U+8CC0
雅 326D B2ED U+96C5
餓 326E B2EE U+9913
駕 326F B2EF U+99D5
介 3270 B2F0 U+4ECB
会 3271 B2F1 U+4F1A
解 3272 B2F2 U+89E3
回 3273 B2F3 U+56DE
塊 3274 B2F4 U+584A
壊 3275 B2F5 U+58CA
廻 3276 B2F6 U+5EFB
快 3277 B2F7 U+5FEB
怪 3278 B2F8 U+602A
悔 3279 B2F9 U+6094
恢 327A B2FA U+6062
懐 327B B2FB U+61D0
戒 327C B2FC U+6212
拐 327D B2FD U+62D0
改 327E B2FE U+6539
魁 3321 B3A1 U+9B41
晦 3322 B3A2 U+6666
械 3323 B3A3 U+68B0
海 3324 B3A4 U+6D77
灰 3325 B3A5 U+7070
界 3326 B3A6 U+754C
皆 3327 B3A7 U+7686
絵 3328 B3A8 U+7D75
芥 3329 B3A9 U+82A5
蟹 332A B3AA U+87F9
開 332B B3AB U+958B
階 332C B3AC U+968E
貝 332D B3AD U+8C9D
凱 332E B3AE U+51F1
劾 332F B3AF U+52BE
外 3330 B3B0 U+5916
咳 3331 B3B1 U+54B3
害 3332 B3B2 U+5BB3
崖 3333 B3B3 U+5D16
慨 3334 B3B4 U+6168
概 3335 B3B5 U+6982
涯 3336 B3B6 U+6DAF
碍 3337 B3B7 U+788D
蓋 3338 B3B8 U+84CB
街 3339 B3B9 U+8857
該 333A B3BA U+8A72
鎧 333B B3BB U+93A7
骸 333C B3BC U+9AB8
浬 333D B3BD U+6D6C
馨 333E B3BE U+99A8
蛙 333F B3BF U+86D9
垣 3340 B3C0 U+57A3
柿 3341 B3C1 U+67FF
蛎 3342 B3C2 U+86CE
鈎 3343 B3C3 U+920E
劃 3344 B3C4 U+5283
嚇 3345 B3C5 U+5687
各 3346 B3C6 U+5404
廓 3347 B3C7 U+5ED3
拡 3348 B3C8 U+62E1
撹 3349 B3C9 U+64B9
格 334A B3CA U+683C
核 334B B3CB U+6838
殻 334C B3CC U+6BBB
獲 334D B3CD U+7372
確 334E B3CE U+78BA
穫 334F B3CF U+7A6B
覚 3350 B3D0 U+899A
角 3351 B3D1 U+89D2
赫 3352 B3D2 U+8D6B
較 3353 B3D3 U+8F03
郭 3354 B3D4 U+90ED
閣 3355 B3D5 U+95A3
隔 3356 B3D6 U+9694
革 3357 B3D7 U+9769
学 3358 B3D8 U+5B66
岳 3359 B3D9 U+5CB3
楽 335A B3DA U+697D
額 335B B3DB U+984D
顎 335C B3DC U+984E
掛 335D B3DD U+639B
笠 335E B3DE U+7B20
樫 335F B3DF U+6A2B
橿 3360 B3E0 U+6A7F
梶 3361 B3E1 U+68B6
鰍 3362 B3E2 U+9C0D
潟 3363 B3E3 U+6F5F
割 3364 B3E4 U+5272
喝 3365 B3E5 U+559D
恰 3366 B3E6 U+6070
括 3367 B3E7 U+62EC
活 3368 B3E8 U+6D3B
渇 3369 B3E9 U+6E07
滑 336A B3EA U+6ED1
葛 336B B3EB U+845B
褐 336C B3EC U+8910
轄 336D B3ED U+8F44
且 336E B3EE U+4E14
鰹 336F B3EF U+9C39
叶 3370 B3F0 U+53F6
椛 3371 B3F1 U+691B
樺 3372 B3F2 U+6A3A
鞄 3373 B3F3 U+9784
株 3374 B3F4 U+682A
兜 3375 B3F5 U+515C
竃 3376 B3F6 U+7AC3
蒲 3377 B3F7 U+84B2
釜 3378 B3F8 U+91DC
鎌 3379 B3F9 U+938C
噛 337A B3FA U+565B
鴨 337B B3FB U+9D28
栢 337C B3FC U+6822
茅 337D B3FD U+8305
萱 337E B3FE U+8431
粥 3421 B4A1 U+7CA5
刈 3422 B4A2 U+5208
苅 3423 B4A3 U+82C5
瓦 3424 B4A4 U+74E6
乾 3425 B4A5 U+4E7E
侃 3426 B4A6 U+4F83
冠 3427 B4A7 U+51A0
寒 3428 B4A8 U+5BD2
刊 3429 B4A9 U+520A
勘 342A B4AA U+52D8
勧 342B B4AB U+52E7
巻 342C B4AC U+5DFB
喚 342D B4AD U+559A
堪 342E B4AE U+582A
姦 342F B4AF U+59E6
完 3430 B4B0 U+5B8C
官 3431 B4B1 U+5B98
寛 3432 B4B2 U+5BDB
干 3433 B4B3 U+5E72
幹 3434 B4B4 U+5E79
患 3435 B4B5 U+60A3
感 3436 B4B6 U+611F
慣 3437 B4B7 U+6163
憾 3438 B4B8 U+61BE
換 3439 B4B9 U+63DB
敢 343A B4BA U+6562
柑 343B B4BB U+67D1
桓 343C B4BC U+6853
棺 343D B4BD U+68FA
款 343E B4BE U+6B3E
歓 343F B4BF U+6B53
汗 3440 B4C0 U+6C57
漢 3441 B4C1 U+6F22
澗 3442 B4C2 U+6F97
潅 3443 B4C3 U+6F45
環 3444 B4C4 U+74B0
甘 3445 B4C5 U+7518
監 3446 B4C6 U+76E3
看 3447 B4C7 U+770B
竿 3448 B4C8 U+7AFF
管 3449 B4C9 U+7BA1
簡 344A B4CA U+7C21
緩 344B B4CB U+7DE9
缶 344C B4CC U+7F36
翰 344D B4CD U+7FF0
肝 344E B4CE U+809D
艦 344F B4CF U+8266
莞 3450 B4D0 U+839E
観 3451 B4D1 U+89B3
諌 3452 B4D2 U+8ACC
貫 3453 B4D3 U+8CAB
還 3454 B4D4 U+9084
鑑 3455 B4D5 U+9451
